Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,-9999,League,Foreign
134,Marc Cucurella,ESP,MFDF,Getafe,23,1998,1,0,23,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.62,0.31,0.93,0.62,0.93,Matches,1daec722,LaLiga,False
135,Jorge Cuenca,ESP,DF,Getafe,21,1999,32,31,2683,29.8,1,0,1,1,0,0,6,2,0.9,0.9,0.1,1.0,4.0,61.0,6.0,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.04,0.03,0.04,Matches,0abc51f2,LaLiga,False
136,Matheus Cunha,BRA,FW,Atlético Madrid,22,1999,29,8,1063,11.8,6,4,10,6,0,0,3,0,5.8,5.8,2.2,8.0,16.0,20.0,61.0,0.51,0.34,0.85,0.51,0.85,0.49,0.19,0.68,0.49,0.68,Matches,dc62b55d,LaLiga,True
137,Arnaut Danjuma,NED,FW,Villarreal,24,1997,23,17,1472,16.4,10,3,13,7,3,3,1,0,11.9,9.5,2.2,11.7,71.0,27.0,172.0,0.61,0.18,0.79,0.43,0.61,0.73,0.14,0.86,0.58,0.72,Matches,f08490a6,LaLiga,True
138,Sergi Darder,ESP,MF,Espanyol,27,1993,36,36,3125,34.7,3,9,12,3,0,0,4,0,2.6,2.6,3.9,6.5,94.0,221.0,65.0,0.09,0.26,0.35,0.09,0.35,0.07,0.11,0.19,0.07,0.19,Matches,070a3904,LaLiga,False
139,Rodrigo De Paul,ARG,MF,Atlético Madrid,27,1994,36,24,2151,23.9,3,1,4,3,0,0,7,0,1.6,1.6,4.6,6.2,65.0,162.0,53.0,0.13,0.04,0.17,0.13,0.17,0.07,0.19,0.26,0.07,0.26,Matches,162efffd,LaLiga,True
140,Thomas Delaney,DEN,MF,Sevilla,29,1991,26,15,1549,17.2,2,1,3,2,0,0,4,1,1.2,1.2,0.8,2.0,14.0,64.0,17.0,0.12,0.06,0.17,0.12,0.17,0.07,0.04,0.11,0.07,0.11,Matches,fe641c1a,LaLiga,True
141,Ousmane Dembélé,FRA,FW,Barcelona,24,1997,21,15,1409,15.7,1,13,14,1,0,0,3,0,2.6,2.6,8.3,10.9,128.0,70.0,201.0,0.06,0.83,0.89,0.06,0.89,0.17,0.53,0.7,0.17,0.7,Matches,b19db005,LaLiga,True
142,Yusuf Demir,AUT,FW,Barcelona,18,2003,6,2,192,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,fa265f6d,LaLiga,True
143,Sergiño Dest,USA,DFFW,Barcelona,20,2000,21,17,1512,16.8,0,3,3,0,0,0,2,0,1.1,1.1,2.5,3.7,75.0,81.0,158.0,0.0,0.18,0.18,0.0,0.18,0.07,0.15,0.22,0.07,0.22,Matches,5976f83e,LaLiga,True
144,Boulaye Dia,SEN,FW,Villarreal,24,1996,25,13,1269,14.1,5,5,10,5,0,0,3,0,5.4,5.4,2.4,7.8,22.0,16.0,93.0,0.35,0.35,0.71,0.35,0.71,0.39,0.17,0.56,0.39,0.56,Matches,244bc2c8,LaLiga,True
145,Mouctar Diakhaby,GUI,DF,Valencia,24,1996,29,21,1948,21.6,0,1,1,0,0,0,11,0,0.6,0.6,0.2,0.8,18.0,51.0,7.0,0.0,0.05,0.05,0.0,0.05,0.03,0.01,0.04,0.03,0.04,Matches,d2110326,LaLiga,True
146,Javier Díaz,ESP,GK,Sevilla,24,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,17a1299d,LaLiga,False
147,Víctor Díaz,ESP,DF,Granada,33,1988,22,18,1500,16.7,1,0,1,1,0,0,5,0,0.8,0.8,0.1,0.9,5.0,37.0,6.0,0.06,0.0,0.06,0.06,0.06,0.05,0.01,0.06,0.05,0.06,Matches,3624ce4c,LaLiga,False
148,Landry Dimata,BEL,FWMF,Espanyol,23,1997,17,4,541,6.0,0,0,0,0,0,0,0,0,1.6,1.6,0.3,2.0,6.0,7.0,34.0,0.0,0.0,0.0,0.0,0.0,0.27,0.05,0.33,0.27,0.33,Matches,b5f63410,LaLiga,True
149,Stole Dimitrievski,MKD,GK,Rayo Vallecano,27,1993,31,30,2772,30.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,fc70e345,LaLiga,True
