Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,-9999,League,Foreign
199,Eric García,ESP,DF,Barcelona,20,2001,26,23,2039,22.7,0,0,0,0,0,0,5,1,0.2,0.2,0.1,0.3,36.0,137.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,2bed3eab,LaLiga,False
200,Francisco Garcia,ESP,DF,Rayo Vallecano,21,1999,34,34,3025,33.6,1,0,1,1,0,0,4,0,0.9,0.9,1.7,2.6,140.0,133.0,141.0,0.03,0.0,0.03,0.03,0.03,0.03,0.05,0.08,0.03,0.08,Matches,7226539b,LaLiga,False
201,Joan García,ESP,GK,Espanyol,20,2001,2,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,87b498b0,LaLiga,False
202,Manu García,ESP,MF,Alavés,23,1998,24,10,1077,12.0,0,1,1,0,0,0,3,0,0.3,0.3,1.1,1.4,23.0,79.0,30.0,0.0,0.08,0.08,0.0,0.08,0.03,0.09,0.12,0.03,0.12,Matches,6ed1a2a2,LaLiga,False
203,Raúl García,ESP,FW,Athletic Club,35,1986,35,24,1802,20.0,6,2,8,6,0,1,3,0,6.1,5.3,2.7,8.0,12.0,87.0,113.0,0.3,0.1,0.4,0.3,0.4,0.3,0.13,0.44,0.26,0.4,Matches,b418dbd4,LaLiga,False
204,Rubén García,ESP,MFFW,Osasuna,28,1993,37,30,2375,26.4,1,6,7,1,0,2,1,0,3.1,1.6,3.4,4.9,39.0,96.0,199.0,0.04,0.23,0.27,0.04,0.27,0.12,0.13,0.25,0.06,0.19,Matches,5c96b017,LaLiga,False
205,Saúl García,ESP,MF,Alavés,26,1994,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,dafa5038,LaLiga,False
206,Unai García,ESP,DF,Osasuna,29,1992,18,15,1408,15.6,0,0,0,0,0,0,5,0,0.3,0.3,0.1,0.4,12.0,37.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,4a633cfe,LaLiga,False
207,Mario Gaspar,ESP,DF,Villarreal,30,1990,12,7,623,6.9,0,0,0,0,0,0,1,0,0.3,0.3,0.6,0.9,6.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,Matches,fb5d47b3,LaLiga,False
208,Gavi,ESP,MFFW,Barcelona,16,2004,34,28,2316,25.7,2,5,7,2,0,0,11,1,3.6,3.6,3.2,6.8,72.0,115.0,160.0,0.08,0.19,0.27,0.08,0.27,0.14,0.12,0.26,0.14,0.26,Matches,19cae58d,LaLiga,False
209,Óscar Gil,ESP,DF,Espanyol,24,1997,22,20,1688,18.8,0,2,2,0,0,0,7,0,0.2,0.2,2.0,2.2,23.0,30.0,75.0,0.0,0.11,0.11,0.0,0.11,0.01,0.11,0.12,0.01,0.12,Matches,6652cf96,LaLiga,False
210,Mario Gila,ESP,DF,Real Madrid,20,2000,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,9c435456,LaLiga,False
211,Dani Gómez,ESP,FW,Levante,23,1998,28,11,1063,11.8,4,2,6,4,0,0,1,0,4.7,4.7,2.2,6.9,22.0,15.0,87.0,0.34,0.17,0.51,0.34,0.51,0.4,0.19,0.58,0.4,0.58,Matches,0e5ddc7c,LaLiga,False
212,Maxi Gómez,URU,FW,Valencia,24,1996,29,21,1956,21.7,5,1,6,5,0,0,7,1,4.8,4.8,1.9,6.7,22.0,32.0,91.0,0.23,0.05,0.28,0.23,0.28,0.22,0.09,0.31,0.22,0.31,Matches,4c2e9442,LaLiga,True
213,Moi Gómez,ESP,MFFW,Villarreal,27,1994,29,13,1286,14.3,2,2,4,2,0,0,2,0,2.6,2.6,2.7,5.3,26.0,71.0,83.0,0.14,0.14,0.28,0.14,0.28,0.18,0.19,0.37,0.18,0.37,Matches,5a626448,LaLiga,False
214,Papu Gómez,ARG,FWMF,Sevilla,33,1988,29,19,1784,19.8,5,1,6,5,0,0,4,0,2.0,2.0,1.9,3.8,91.0,105.0,92.0,0.25,0.05,0.3,0.25,0.3,0.1,0.09,0.2,0.1,0.19,Matches,6e4df551,LaLiga,True
215,Sergi Gómez,ESP,DF,Espanyol,29,1992,31,31,2720,30.2,1,2,3,1,0,0,1,1,0.4,0.4,1.2,1.6,4.0,43.0,1.0,0.03,0.07,0.1,0.03,0.1,0.01,0.04,0.05,0.01,0.05,Matches,bc6f5f06,LaLiga,False
216,Maxime Gonalons,FRA,MF,Granada,32,1989,25,20,1550,17.2,0,2,2,0,0,0,6,0,0.3,0.3,0.7,0.9,13.0,73.0,6.0,0.0,0.12,0.12,0.0,0.12,0.02,0.04,0.05,0.02,0.05,Matches,b8c1de25,LaLiga,True
217,Diego González,ESP,DF,Elche,26,1995,28,19,1793,19.9,0,0,0,0,0,0,3,1,0.3,0.3,0.0,0.3,6.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,4ac7608e,LaLiga,False
218,Édgar González,ESP,DF,Betis,24,1997,21,14,1464,16.3,1,1,2,1,0,0,6,0,1.1,1.1,0.8,1.9,5.0,39.0,2.0,0.06,0.06,0.12,0.06,0.12,0.07,0.05,0.11,0.07,0.11,Matches,49d028db,LaLiga,False
219,Giovanni González,URU,DF,Mallorca,26,1994,9,3,365,4.1,1,0,1,1,0,0,1,0,0.3,0.3,0.9,1.2,6.0,13.0,20.0,0.25,0.0,0.25,0.25,0.25,0.09,0.22,0.3,0.09,0.3,Matches,1fc474ae,LaLiga,True
220,Nicolás González,ESP,MF,Barcelona,19,2002,27,12,1114,12.4,2,1,3,2,0,0,6,0,1.4,1.4,0.8,2.2,37.0,65.0,45.0,0.16,0.08,0.24,0.16,0.24,0.11,0.07,0.18,0.11,0.18,Matches,2c56a792,LaLiga,False
221,Peter González,DOM,MFDF,Real Madrid,19,2002,3,0,27,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.22,0.7,0.92,0.22,0.92,Matches,1ccd3dae,LaLiga,True
222,Roberto González,ESP,FWMF,Betis,20,2001,4,1,135,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,Matches,56545648,LaLiga,False
223,Gori,ESP,MF,Espanyol,19,2002,1,0,9,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,Matches,f3451c66,LaLiga,False
224,Andoni Gorosabel,ESP,DF,Real Sociedad,24,1996,32,25,2289,25.4,0,4,4,0,0,0,4,0,0.5,0.5,2.7,3.2,51.0,99.0,110.0,0.0,0.16,0.16,0.0,0.16,0.02,0.11,0.13,0.02,0.13,Matches,6f5f82c0,LaLiga,False
225,Jaume Grau,ESP,MF,Osasuna,24,1997,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,fc3d2006,LaLiga,False
226,Dominik Greif,SVK,GK,Mallorca,24,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,30061f53,LaLiga,True
227,Clément Grenier,FRA,MF,Mallorca,30,1991,5,0,60,0.7,1,0,1,1,0,0,1,0,0.6,0.6,0.0,0.6,1.0,2.0,2.0,1.5,0.0,1.5,1.5,1.5,0.92,0.02,0.94,0.92,0.94,Matches,8b298f56,LaLiga,True
228,Antoine Griezmann,FRA,FW,Barcelona,30,1991,3,3,263,2.9,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,5.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,df69b544,LaLiga,True
229,Antoine Griezmann,FRA,FWMF,Atlético Madrid,30,1991,26,21,1695,18.8,3,4,7,3,0,0,3,0,5.1,5.1,3.1,8.2,39.0,53.0,126.0,0.16,0.21,0.37,0.16,0.37,0.27,0.17,0.44,0.27,0.44,Matches,df69b544,LaLiga,True
230,Andrés Guardado,MEX,MF,Betis,34,1986,28,17,1393,15.5,0,1,1,0,0,0,4,0,0.9,0.9,0.4,1.2,13.0,95.0,17.0,0.0,0.06,0.06,0.0,0.06,0.06,0.02,0.08,0.06,0.08,Matches,ef322658,LaLiga,True
231,Sergi Guardiola,ESP,FW,Rayo Vallecano,30,1991,32,20,1710,19.0,8,2,10,7,1,1,3,0,7.1,6.3,2.0,8.3,23.0,32.0,114.0,0.42,0.11,0.53,0.37,0.47,0.37,0.1,0.48,0.33,0.44,Matches,32974271,LaLiga,False
232,Nemanja Gudelj,SRB,DFMF,Sevilla,29,1991,21,9,1046,11.6,0,0,0,0,0,0,5,0,0.1,0.1,0.1,0.2,6.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,0076ab7f,LaLiga,True
233,Gonçalo Guedes,POR,FWMF,Valencia,24,1996,36,30,2606,29.0,11,6,17,10,1,2,3,0,6.4,4.7,4.0,8.7,93.0,120.0,245.0,0.38,0.21,0.59,0.35,0.55,0.22,0.14,0.36,0.16,0.3,Matches,e6bc67d7,LaLiga,True
234,Ander Guevara,ESP,MF,Real Sociedad,24,1997,17,11,867,9.6,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,8.0,48.0,11.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,8e48dc61,LaLiga,False
235,John Guidetti,SWE,FWMF,Alavés,29,1992,10,2,279,3.1,0,0,0,0,0,0,2,0,1.0,1.0,0.2,1.1,1.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.31,0.06,0.37,0.31,0.37,Matches,99bebd12,LaLiga,True
236,Hugo Guillamón,ESP,MFDF,Valencia,21,2000,31,28,2361,26.2,1,0,1,1,0,0,11,2,0.4,0.4,0.4,0.8,11.0,139.0,19.0,0.04,0.0,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03,Matches,f7c12fbf,LaLiga,False
237,Gerard Gumbau,ESP,MF,Elche,26,1994,31,20,1890,21.0,0,4,4,0,0,0,8,1,0.7,0.7,2.8,3.5,17.0,85.0,16.0,0.0,0.19,0.19,0.0,0.19,0.04,0.13,0.17,0.04,0.17,Matches,ac454a4f,LaLiga,False
238,Jon Guridi,ESP,MF,Real Sociedad,26,1995,8,1,206,2.3,1,0,1,1,0,0,0,0,0.9,0.9,0.1,1.0,3.0,8.0,5.0,0.44,0.0,0.44,0.44,0.44,0.39,0.06,0.45,0.39,0.45,Matches,4c0a6a48,LaLiga,False
239,Raúl Guti,ESP,MF,Elche,24,1996,31,17,1627,18.1,0,0,0,0,0,0,4,1,1.2,1.2,0.3,1.5,21.0,76.0,25.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.08,0.07,0.08,Matches,0b2c8585,LaLiga,False
240,Marcos Mauro López Gutiérrez,ARG,DF,Cádiz,30,1991,3,1,136,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,b3b62f94,LaLiga,True
241,Miguel Gutiérrez,ESP,DF,Real Madrid,20,2001,3,3,260,2.9,0,1,1,0,0,0,1,0,0.0,0.0,0.4,0.4,9.0,18.0,10.0,0.0,0.35,0.35,0.0,0.35,0.0,0.14,0.14,0.0,0.14,Matches,7e98cff1,LaLiga,False
242,Munir El Haddadi,MAR,FWMF,Sevilla,25,1995,16,4,474,5.3,2,0,2,2,0,0,3,0,1.4,1.4,0.6,1.9,3.0,15.0,28.0,0.38,0.0,0.38,0.38,0.38,0.26,0.11,0.36,0.26,0.36,Matches,8696bc90,LaLiga,True
243,Varazdat Haroyan,ARM,DF,Cádiz,28,1992,17,16,1437,16.0,1,0,1,1,0,0,9,0,0.7,0.7,0.1,0.8,5.0,22.0,5.0,0.06,0.0,0.06,0.06,0.06,0.05,0.01,0.05,0.05,0.05,Matches,be32269e,LaLiga,True
244,Eden Hazard,BEL,FWMF,Real Madrid,30,1991,18,7,717,8.0,0,1,1,0,0,0,3,0,1.0,1.0,2.0,3.0,41.0,34.0,99.0,0.0,0.13,0.13,0.0,0.13,0.13,0.25,0.38,0.13,0.38,Matches,a39bb753,LaLiga,True
245,Kike Hermoso,ESP,DF,Betis,21,1999,1,1,90,1.0,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.18,0.0,0.18,0.18,0.18,Matches,dea912dc,LaLiga,False
246,Mario Hermoso,ESP,DF,Atlético Madrid,26,1995,26,21,1865,20.7,2,1,3,2,0,0,6,1,2.2,2.2,0.8,2.9,38.0,123.0,21.0,0.1,0.05,0.14,0.1,0.14,0.1,0.04,0.14,0.1,0.14,Matches,555f3a0b,LaLiga,False
247,Aridane Hernández,EQG,DF,Osasuna,32,1989,15,12,1159,12.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,1.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,132ac341,LaLiga,True
248,Luis Hernández,ESP,DF,Cádiz,32,1989,16,15,1366,15.2,0,0,0,0,0,0,5,0,0.5,0.5,0.2,0.7,7.0,58.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05,Matches,02d2c436,LaLiga,False
249,Mario Hernández,ESP,DFFW,Rayo Vallecano,22,1999,9,5,395,4.4,1,0,1,1,0,0,3,0,0.2,0.2,0.0,0.3,4.0,15.0,10.0,0.23,0.0,0.23,0.23,0.23,0.06,0.01,0.06,0.06,0.06,Matches,90162357,LaLiga,False
250,Héctor Herrera,MEX,MF,Atlético Madrid,31,1990,21,8,859,9.5,0,0,0,0,0,0,4,0,0.4,0.4,0.5,0.8,14.0,60.0,15.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,0.09,Matches,a8542814,LaLiga,True
251,Sergio Herrera,ESP,GK,Osasuna,28,1993,36,36,3240,36.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,a4995f48,LaLiga,False
252,Yangel Herrera,VEN,MF,Espanyol,23,1998,23,19,1645,18.3,1,1,2,1,0,0,7,1,1.1,1.1,0.7,1.8,12.0,74.0,34.0,0.05,0.05,0.11,0.05,0.11,0.06,0.04,0.1,0.06,0.1,Matches,e778654a,LaLiga,True
253,Matthew Hoppe,USA,FWMF,Mallorca,20,2001,5,1,131,1.5,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.3,0.0,1.0,9.0,0.0,0.69,0.69,0.0,0.69,0.1,0.08,0.18,0.1,0.18,Matches,1bc432b7,LaLiga,True
254,Robert Ibáñez,ESP,MFFW,Osasuna,28,1993,4,1,93,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,1.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.23,0.28,0.51,0.23,0.51,Matches,c7429db3,LaLiga,False
255,Vicente Iborra,ESP,MF,Villarreal,33,1988,20,12,1034,11.5,0,1,1,0,0,0,4,0,0.7,0.7,0.4,1.0,5.0,48.0,7.0,0.0,0.09,0.09,0.0,0.09,0.06,0.03,0.09,0.06,0.09,Matches,ad1ffcfd,LaLiga,False
256,Oussama Idrissi,MAR,MFFW,Sevilla,25,1996,5,2,127,1.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.15,0.1,0.15,Matches,34caa4b3,LaLiga,True
257,Oussama Idrissi,MAR,MF,Cádiz,25,1996,12,11,902,10.0,1,1,2,1,0,0,2,0,2.0,2.0,1.8,3.8,37.0,35.0,83.0,0.1,0.1,0.2,0.1,0.2,0.2,0.18,0.38,0.2,0.38,Matches,34caa4b3,LaLiga,True
258,Iglesias,ESP,DF,Getafe,23,1998,20,7,719,8.0,0,1,1,0,0,0,1,0,0.1,0.1,0.9,0.9,15.0,15.0,24.0,0.0,0.13,0.13,0.0,0.13,0.01,0.11,0.12,0.01,0.12,Matches,974322dc,LaLiga,False
259,Borja Iglesias,ESP,FW,Betis,28,1993,33,18,1573,17.5,10,0,10,7,3,3,4,0,7.7,5.3,2.7,8.0,18.0,29.0,102.0,0.57,0.0,0.57,0.4,0.4,0.44,0.15,0.59,0.31,0.46,Matches,75645f0e,LaLiga,False
260,Asier Illarramendi,ESP,MF,Real Sociedad,31,1990,8,6,374,4.2,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,0.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,5ce0b5ba,LaLiga,False
261,Nikita Iosifov,RUS,MF,Villarreal,20,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,4c2fa917,LaLiga,True
262,Alexander Isak,SWE,FW,Real Sociedad,21,1999,32,26,2140,23.8,6,2,8,4,2,2,6,0,9.8,8.2,3.2,11.4,58.0,43.0,160.0,0.25,0.08,0.34,0.17,0.25,0.41,0.13,0.55,0.35,0.48,Matches,8e92be30,LaLiga,True
263,Isco,ESP,MFFW,Real Madrid,29,1992,14,3,331,3.7,1,0,1,1,0,0,1,0,0.7,0.7,1.4,2.2,16.0,42.0,17.0,0.27,0.0,0.27,0.27,0.27,0.2,0.39,0.59,0.2,0.59,Matches,a0b4bb3e,LaLiga,False
264,Nicolas Jackson,SEN,FWMF,Villarreal,20,2001,9,0,165,1.8,0,0,0,0,0,0,1,0,1.0,1.0,0.5,1.4,6.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.52,0.26,0.78,0.52,0.78,Matches,9c36ed83,LaLiga,True
265,Jakub Jankto,CZE,DFMF,Getafe,25,1996,14,6,587,6.5,0,2,2,0,0,0,1,1,0.2,0.2,1.4,1.6,8.0,20.0,32.0,0.0,0.31,0.31,0.0,0.31,0.03,0.22,0.25,0.03,0.25,Matches,1ea5f91c,LaLiga,True
266,Adnan Januzaj,BEL,FWMF,Real Sociedad,26,1995,33,17,1625,18.1,3,0,3,1,2,2,5,0,4.1,2.5,2.9,5.4,65.0,80.0,140.0,0.17,0.0,0.17,0.06,0.06,0.23,0.16,0.39,0.14,0.3,Matches,4737cebe,LaLiga,True
267,Jason,ESP,MFFW,Alavés,27,1994,14,10,678,7.5,0,1,1,0,0,0,1,0,0.9,0.9,1.7,2.6,11.0,10.0,31.0,0.0,0.13,0.13,0.0,0.13,0.13,0.22,0.35,0.13,0.35,Matches,9038c2a1,LaLiga,False
268,Jason,ESP,MFDF,Valencia,27,1994,5,1,75,0.8,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,4.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.07,0.29,0.36,0.07,0.36,Matches,9038c2a1,LaLiga,False
269,Luis Javier Suárez,COL,FW,Granada,23,1997,37,34,2844,31.6,8,4,12,8,0,1,6,0,9.8,9.1,3.1,12.2,62.0,63.0,196.0,0.25,0.13,0.38,0.25,0.38,0.31,0.1,0.41,0.29,0.39,Matches,eeba07f8,LaLiga,True
270,Álvaro Jiménez,ESP,MFFW,Cádiz,26,1995,9,1,234,2.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,11.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,Matches,5f5501ed,LaLiga,False
271,Joaquín,ESP,FWMF,Betis,40,1981,21,2,471,5.2,0,1,1,0,0,0,0,0,2.0,2.0,1.4,3.4,31.0,28.0,46.0,0.0,0.19,0.19,0.0,0.19,0.38,0.28,0.65,0.38,0.65,Matches,4c5b14d2,LaLiga,False
272,Jofre,ESP,MFDF,Espanyol,20,2001,3,0,20,0.2,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,1.0,0.0,7.0,0.0,4.5,4.5,0.0,4.5,0.0,2.01,2.01,0.0,2.01,Matches,030ef8d6,LaLiga,False
273,Frenkie de Jong,NED,MF,Barcelona,24,1997,32,30,2476,27.5,3,3,6,3,0,0,7,1,4.8,4.8,3.4,8.2,78.0,206.0,121.0,0.11,0.11,0.22,0.11,0.22,0.18,0.12,0.3,0.18,0.3,Matches,1bacc518,LaLiga,True
274,Luuk de Jong,NED,FW,Barcelona,30,1990,21,6,654,7.3,6,0,6,6,0,0,1,0,4.6,4.6,0.2,4.8,4.0,9.0,48.0,0.83,0.0,0.83,0.83,0.83,0.63,0.03,0.67,0.63,0.67,Matches,abb3bb95,LaLiga,True
275,Joan Jordán,ESP,MF,Sevilla,27,1994,36,31,2514,27.9,0,1,1,0,0,0,9,0,0.8,0.8,1.6,2.5,17.0,170.0,64.0,0.0,0.04,0.04,0.0,0.04,0.03,0.06,0.09,0.03,0.09,Matches,2a0c8ba4,LaLiga,False
276,Josan,ESP,DFMF,Elche,31,1989,31,10,1211,13.5,2,3,5,2,0,0,2,0,1.0,1.0,3.2,4.3,42.0,38.0,82.0,0.15,0.22,0.37,0.15,0.37,0.08,0.24,0.32,0.08,0.32,Matches,5b28b2f6,LaLiga,False
277,Willian José,BRA,FW,Betis,29,1991,32,19,1604,17.8,8,4,12,5,3,3,2,0,6.1,3.7,3.0,6.7,18.0,38.0,100.0,0.45,0.22,0.67,0.28,0.5,0.34,0.17,0.51,0.21,0.37,Matches,d87e2cae,LaLiga,True
278,Joselu,ESP,FW,Alavés,31,1990,37,35,3122,34.7,14,4,18,8,6,7,0,0,12.9,7.4,4.5,11.9,27.0,108.0,137.0,0.4,0.12,0.52,0.23,0.35,0.37,0.13,0.5,0.21,0.34,Matches,6265208f,LaLiga,False
279,Josema,ESP,DF,Elche,25,1996,6,1,183,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,ed3f5f4c,LaLiga,False
280,Luka Jović,SRB,FW,Real Madrid,23,1997,15,1,369,4.1,1,3,4,1,0,0,1,0,2.3,2.3,0.8,3.1,4.0,7.0,17.0,0.24,0.73,0.98,0.24,0.98,0.56,0.2,0.76,0.56,0.76,Matches,4d8cd038,LaLiga,True
281,Miguel Juan Llambrich,ESP,DF,Espanyol,25,1996,2,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,d83f09ff,LaLiga,False
282,José Juan Macías,MEX,FWMF,Getafe,21,1999,7,2,201,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,1f1c8a15,LaLiga,True
283,Juanmi,ESP,FW,Betis,28,1993,33,26,2131,23.7,16,4,20,16,0,0,5,0,11.1,11.1,2.9,14.0,26.0,38.0,107.0,0.68,0.17,0.84,0.68,0.84,0.47,0.12,0.59,0.47,0.59,Matches,84399660,LaLiga,False
284,Lago Junior,CIV,FWMF,Mallorca,30,1990,6,1,177,2.0,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,13.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.28,0.28,0.28,Matches,360d70f8,LaLiga,True
285,Vinicius Júnior,BRA,FW,Real Madrid,21,2000,35,30,2690,29.9,17,10,27,17,0,0,6,0,12.3,12.3,8.0,20.3,225.0,123.0,485.0,0.57,0.33,0.9,0.57,0.9,0.41,0.27,0.68,0.41,0.68,Matches,7111d552,LaLiga,True
286,Jutglà,ESP,FW,Barcelona,22,1999,6,4,301,3.3,1,0,1,1,0,0,1,0,1.6,1.6,0.2,1.8,10.0,4.0,38.0,0.3,0.0,0.3,0.3,0.3,0.48,0.07,0.55,0.48,0.55,Matches,2a9f6b4d,LaLiga,False
287,Jens Jønsson,DEN,MF,Cádiz,28,1993,22,17,1303,14.5,0,1,1,0,0,0,3,0,0.4,0.4,0.9,1.3,4.0,20.0,13.0,0.0,0.07,0.07,0.0,0.07,0.03,0.06,0.09,0.03,0.09,Matches,53520a67,LaLiga,True
288,Lee Kangin,KOR,MFFW,Mallorca,20,2001,30,15,1411,15.7,1,2,3,1,0,0,4,1,1.5,1.5,2.1,3.6,32.0,48.0,64.0,0.06,0.13,0.19,0.06,0.19,0.09,0.13,0.23,0.09,0.23,Matches,8455ad90,LaLiga,True
289,Kike,ESP,FW,Osasuna,31,1989,33,18,1862,20.7,5,1,6,4,1,1,2,0,6.7,5.9,2.0,8.0,26.0,36.0,144.0,0.24,0.05,0.29,0.19,0.24,0.32,0.1,0.42,0.29,0.38,Matches,e897d8ba,LaLiga,False
290,Koba Koindredi,FRA,MF,Valencia,19,2001,10,1,181,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.07,0.01,0.07,Matches,3a58d075,LaLiga,True
291,Koke,ESP,MF,Atlético Madrid,29,1992,31,29,2508,27.9,1,2,3,1,0,0,6,0,1.0,1.0,1.5,2.4,28.0,197.0,53.0,0.04,0.07,0.11,0.04,0.11,0.03,0.05,0.09,0.03,0.09,Matches,55126f3b,LaLiga,False
292,Luca Koleosho,CAN,FW,Espanyol,16,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,fc076f78,LaLiga,True
293,Geoffrey Kondogbia,CTA,MFDF,Atlético Madrid,28,1993,28,21,1882,20.9,1,2,3,1,0,0,13,2,0.4,0.4,0.9,1.3,11.0,76.0,7.0,0.05,0.1,0.14,0.05,0.14,0.02,0.04,0.06,0.02,0.06,Matches,cce181df,LaLiga,True
294,Jules Koundé,FRA,DF,Sevilla,22,1998,32,31,2736,30.4,2,1,3,2,0,0,2,2,1.1,1.1,2.3,3.4,48.0,168.0,35.0,0.07,0.03,0.1,0.07,0.1,0.04,0.08,0.11,0.04,0.11,Matches,4d1666ff,LaLiga,True
295,Toni Kroos,GER,MF,Real Madrid,31,1990,28,25,2103,23.4,1,3,4,1,0,0,4,0,2.2,2.2,3.2,5.4,40.0,277.0,38.0,0.04,0.13,0.17,0.04,0.17,0.09,0.14,0.23,0.09,0.23,Matches,6ce1f46f,LaLiga,True
